*******************************************************

GPSlogger
Writing to GPSLOG61.TXT
Ready!
$GPGGA,190926.439,,,,,0,00,,,M,0.0,M,,0000*5D
#4128
Y2,331
Z2,337
Time,15314
X1,504
X2,322
Y2,332
Z2,337
Time,15361
X1,504
X2,322
Y2,332
Z2,337
Time,15406
X1,504
X2,322
Y2,332
Z2,337
Time,15452
X1,504
X2,322
Y2,333
Z2,336
Time,15519
X1,504
X2,321
Y2,334
Z2,336
Time,15551
X1,504
X2,321
Y2,334
Z2,335
$GPGGA,190937.412,,,,,0,00,,,M,0.0,M,,0000*54
#15592
Time,15602
Pressure,-32645
Temperature,12
Altitude,244
Time,15700
X1,504
X2,322
Y2,333
Z2,336
Time,15726
X1,504
X2,322
Y2,332
Z2,336
Time,15772
X1,504
X2,322
Y2,333
Z2,336
Time,15817
X1,504
X2,322
Y2,334
Z2,336
Time,15863
X1,504
X2,322
Y2,334
Z2,336
Time,15909
X1,504
X2,322
Y2,335
Z2,336
Time,15971
X1,504
X2,322
Y2,334
Z2,337
Time,16006
X1,504
X2,322
Y2,334
Z2,337
Time,16047
X1,504
X2,322
Y2,334
Z2,338
Time,16092
X1,504
X2,322
Y2,334
Z2,338
Time,16138
X1,504
X2,321
Y2,334
Z2,337
Time,16184
X1,504
X2,322
Y2,334
Z2,337
Time,16230
X1,504
X2,322
Y2,334
Z2,337
Time,16275
X1,504
X2,322
Y2,334
Z2,336
Time,16321
X1,504
X2,322
Y2,335
Z2,336
Time,16367
X1,504
X2,322
Y2,335
Z2,337
Time,16412
X1,504
X2,322
Y2,335
Z2,337
Time,16472
X1,504
X2,322
Y2,335
Z2,337
Time,16496
X1,504
X2,322
Y2,334
Z2,337
Time,16520
X1,504
X2,322
Y2,334
Z2,337
Time,16561
Pressure,-32639
Temperature,12
Altitude,243
Time,16652
X1,504
X2,321
Y2,334
Z2,337
Time,16676
X1,504
X2,321
Y2,334
Z2,337
Time,16722
X1,504
X2,322
Y2,334
Z2,338
Time,16769
X1,504
X2,322
Y2,335
Z2,338
Time,16815
X1,504
X2,322
Y2,335
Z2,338
Time,16860
X1,504
X2,322
Y2,335
Z2,337
Time,16906
X1,504
X2,322
Y2,335
Z2,337
Time,16952
X1,504
X2,322
Y2,334
Z2,337
Time,16997
X1,504
X2,322
Y2,334
Z2,337
Time,17043
X1,504
X2,322
Y2,335
Z2,337
Time,17089
X1,504
X2,322
Y2,335
Z2,337
Time,17134
X1,504
X2,322
Y2,335
Z2,337
Time,17180
X1,504
X2,322
Y2,335
Z2,337
Time,17241
X1,504
X2,322
Y2,335
Z2,337
Time,17271
X1,504
X2,321
Y2,335
Z2,337
Time,17317
X1,504
X2,321
Y2,335
Z2,337
Time,17363
X1,504
X2,322
Y2,335
Z2,337
Time,17424
X1,504
X2,322
Y2,335
Z2,338
Time,17452
X1,504
X2,322
Y2,335
Z2,338
Time,17468
X1,504
X2,321
Y2,335
Z2,338
~$GPGGA,190941.409,,,,,0,00,,,M,0.0,M,,0000*5F
#18402
Time,18403
